Year,location,latitude,longitude,num_of_people
2017,Japan,35.652832,139.839478,10073
1990,Jordan,31.963158,35.930359,948
1995,Jordan,31.963158,35.930359,4677
2000,Jordan,31.963158,37.930359,8402
2005,Jordan,31.963158,38.930359,17487
2010,Jordan,31.963158,39.930359,26192
2015,Jordan,31.963158,40.930359,11275
2017,Jordan,31.963158,41.930359,11715
1990,Kuwait,29.378586,47.990341,126783
1995,Kuwait,29.378586,47.990341,110044
2000,Kuwait,29.378586,47.990341,136047
2005,Kuwait,29.378586,47.990341,175015
2010,Kuwait,29.378586,47.990341,257626
2015,Kuwait,29.378586,47.990341,350229
2017,Kuwait,29.378586,47.990341,381669
1990,Latvia,56.946285,24.105078,3
1995,Latvia,56.946285,25.105078,4
2000,Latvia,56.946285,26.105078,5
2005,Latvia,56.946285,27.105078,6
2010,Latvia,56.946285,28.105078,8
2015,Latvia,56.946285,29.105078,6
2017,Latvia,56.946285,30.105078,5
1990,Lebanon,33.88863,35.49548,433
1995,Lebanon,33.88863,35.49548,2124
2000,Lebanon,33.88863,35.49548,3814
2005,Lebanon,33.88863,35.49548,3717
2010,Lebanon,33.88863,35.49548,3619
2015,Lebanon,33.88863,35.49548,3047
2017,Lebanon,33.88863,35.49548,2994
1990,Libya,32.885353,13.180161,318
1995,Libya,32.885353,13.180161,613
2000,Libya,32.885353,13.180161,919
2005,Libya,32.885353,13.180161,1013
2010,Libya,32.885353,13.180161,1109
2015,Libya,32.885353,13.180161,1250
2017,Libya,32.885353,13.180161,1277
1990,Luxembourg,49.611622,6.131935,29
1995,Luxembourg,50.611622,6.131935,27
2000,Luxembourg,51.611622,6.131935,26
2005,Luxembourg,52.611622,6.131935,22
2010,Luxembourg,53.611622,6.131935,31
2015,Luxembourg,54.611622,6.131935,33
2017,Luxembourg,55.611622,6.131935,33
1990,Malaysia,3.519863,101.538116,23930
1995,Malaysia,3.519863,102.538116,33453
2000,Malaysia,3.519863,103.538116,46489
2005,Malaysia,3.519863,104.538116,182131
2010,Malaysia,3.519863,105.538116,343000
2015,Malaysia,3.519863,106.538116,358432
2017,Malaysia,3.519863,107.538116,365600
1990,Maldives,0.500000,73.399658,1623
1995,Maldives,0.500000,73.399658,3574
2000,Maldives,0.500000,73.399658,5286
2005,Maldives,0.500000,73.399658,20163
2010,Maldives,0.500000,73.399658,28598
2015,Maldives,0.500000,73.399658,37034
2017,Maldives,0.500000,73.399658,38620
1990,Malta,35.917973,14.409943,6
1995,Malta,35.917973,14.409943,8
2000,Malta,35.917973,14.409943,9
2005,Malta,35.917973,14.409943,13
2010,Malta,35.917973,14.409943,14
2015,Malta,35.917973,14.409943,17
2017,Malta,35.917973,14.409943,18
1990,Mauritius,-20.244959,57.561768,71
1995,Mauritius,-20.244959,57.561768,150
2000,Mauritius,-20.244959,57.561768,313
2005,Mauritius,-20.244959,57.561768,3672
2010,Mauritius,-20.244959,57.561768,7235
2015,Mauritius,-20.244959,57.561768,8327
2017,Mauritius,-20.244959,57.561768,8364
1990,Mexico,19.432608,-99.133209,35
1995,Mexico,19.432608,-99.133209,24
2000,Mexico,19.432608,-99.133209,15
2005,Mexico,19.432608,-99.133209,30
2010,Mexico,19.432608,-99.133209,49
2015,Mexico,19.432608,-99.133209,72
2017,Mexico,19.432608,-99.133209,73
